event_id;team_host;team_away;league;bet_type;expected_result;coefficient;actual_result;win_status
40837034;Манчестер Сити;Вест Хэм;0;Двойной шанс;X2;3.70;3:1(2:0, 1:1);0
40837032;Вест Бромвич;Мидлсбро ;0;1Х2 (Основное время);ничья;3.00;0:0(0:0, 0:0);1
40837031;Халл Сити;Манчестер Юнайтед;0;Двойной шанс;1X;2.81;0:1 (0:0);0
40837030;Лестер Сити;Суонси Сити;0;1Х2 (Основное время);Лестер Сити;1.73;2:1(1:0, 1:1);1
40837029;Кристал Пэлас;Борнмут;0;Двойной шанс;X2;1.63;1:1(0:1, 1:0);1
40837028;Эвертон;Сток Сити;0;1Х2 (Основное время);Эвертон;1.70;1:0(0:0, 1:0);1
40837027;Саутгемптон;Сандерленд;0;1Х2 (Основное время);ничья;3.94;1:1(0:0, 1:1);1
40837026;Уотфорд;Арсенал;0;1Х2 (Основное время);Арсенал;1.69;1:3(0:3, 1:0);1
40837025;Тоттенхэм;Ливерпуль;0;1Х2 (Основное время);Ливерпуль;3.08;1:1(0:1, 1:0);0
40820825;Александрия;Звезда Кировоград;0;"Фора ""0"" +0";Звезда Кировоград;3.26;4:0 (1:0);0
40820824;Сталь Днепродзержинск;Шахтер Д;0;1Х2 (Основное время);ничья;5.96;0:1(0:0, 0:1);0
40820823;Карпаты Львов;Олимпик Донецк;0;1Х2 (Основное время);Карпаты Львов;1.73;0:2(0:1, 0:1);0
40820821;Динамо Киев;Ворксла Полтава;0;1Х2 (Основное время);ничья;4.69;0:2(0:1, 0:1);0
40820820;Волынь Луцк;Черноморец Одесса;0;1Х2 (Основное время);ничья;3.14;0:1(0:0, 0:1);0
40820819;Днепр;Заря Луганск;0;1Х2 (Основное время);Заря Луганск;2.15;2:0(1:0, 1:0);0
